Formation,Well UWI,"[lon,lat]",Geoscout Formation,Province,Area,Facility GOR (scf/bbl),Flare (%),Vent (%),Fuel (%),Well Age (yrs),Operator,2017 Prod Time (yrs),Depth (ft),Oil Production (bbl/day),Well GOR (scf/bbl),Well WOR (bbl/bbl),Gas production (scf/day),Cum Gas Prod (BOE),Cum Oil Prod (bbl),Cum BOE (2017),Formation BOE (2017),Drill & Dev Emissions (gCO2e/MJ),WTR Emissions (gCO2e/MJ-crude),WTR - No Allocation (gCO2e/MJ-crude),2017 Emissions (MtCO2e) - Oil Allocation,2017 Emissions (MtCO2e) - No Allocation
Bakken (SK),100023004004W502,,Dduvernay,AB,GILBY,14072.75206,1.5305,0,0.1665,0.5,,0.5,10491.47015,17.339,14072.854,0.252,244009.2155,7421.946971,3164.3675,10586.31447,4709281.158,0.5,4.3,6.133316824,,
Bakken (SK),103033004004W500,,Dduvernay,AB,GILBY,132910.9648,0,0,1.8694,0.5,,0.5,10442.91372,0.214,288066.919,0,61646.32067,1875.075587,39.055,1914.130587,4709281.158,0.2,3.4,3.470816878,,
Bakken (SK),100133206122W500,,Dduvernay,AB,GRIZZLY,132910.9648,0,0,1.8694,0.5,,0.5,10440.61713,0.172,105330.523,0,18116.84996,551.0541863,31.39,582.4441863,4709281.158,0.2,3.7,3.910765117,,
Bakken (SK),100130906222W502,,Dduvernay,AB,GRIZZLY,28668.27442,0.285,0,2.6669,0.083,,0.083,11738.51744,9.947,57336.964,0,570330.7809,2879.695168,301.344365,3181.039533,4709281.158,0.4,5,5.523222681,,
Bakken (SK),102140906222W500,,Dduvernay,AB,GRIZZLY,4824759.479,0.0176,0.008,0.5151,0.5,,0.5,11333.3337,0.21,5424932.462,0,1139235.817,34651.7561,38.325,34690.0811,4709281.158,0.2,2.5,2.502765011,,
Bakken (SK),100150906222W500,,Dduvernay,AB,GRIZZLY,4824759.479,0.0176,0.008,0.5151,0.5,,0.5,11339.56729,0.162,7935985.713,0,1285629.686,39104.56962,29.565,39134.13462,4709281.158,0.2,2.5,2.501890124,,
Bakken (SK),102150906222W500,,Dduvernay,AB,GRIZZLY,4824759.479,0.0176,0.008,0.5151,0.5,,0.5,11303.47805,0.193,5587061.577,0,1078302.884,32798.37939,35.2225,32833.60189,4709281.158,0.3,2.5,2.502684774,,
Bakken (SK),102011606222W500,,Dduvernay,AB,GRIZZLY,4824759.479,0.0176,0.008,0.5151,0.5,,0.5,11315.28908,0.186,5792534.138,0,1077411.35,32771.2619,33.945,32805.2069,4709281.158,0.2,2.5,2.50258954,,
Bakken (SK),100061006223W502,,Dduvernay,AB,GRIZZLY,23981.0245,0,0,0.5917,0.5,,0.5,11093.83238,12.287,20504.043,0,251933.1763,7662.967446,2242.3775,9905.344946,4709281.158,0.5,3.8,4.911975819,,
Bakken (SK),100151506223W502,,Dduvernay,AB,GRIZZLY,18101.44729,0,0,7.3449,0.5,,0.5,11981.62768,2.154,16772.033,0,36126.95908,1098.861672,393.105,1491.966672,4709281.158,0.6,8,10.86190708,,
Bakken (SK),104061906319W500,,Dduvernay,AB,KAYBOB,16936.23983,0,0,0.5459,0.5,,0.5,11759.51481,15.905,16843.9,0,267902.2295,8148.692814,2902.6625,11051.35531,4709281.158,0.6,3.9,5.289226961,,
Bakken (SK),100081906319W500,,Dduvernay,AB,KAYBOB,679597.1095,0,0,0.9302,0.5,,0.5,9894.685356,0.469,1935314.605,161.11,907662.5497,27608.06922,85.5925,27693.66172,4709281.158,0.2,2.5,2.507750678,,
Bakken (SK),103052006319W500,,Dduvernay,AB,KAYBOB,585402.8784,0,0,0.928,0.5,,0.5,9787.073804,2.23,322906.507,0,720081.5106,21902.47928,406.975,22309.45428,4709281.158,0.2,2.6,2.648311197,,
Bakken (SK),102062006319W500,,Dduvernay,AB,KAYBOB,547898.5899,0,0,0.9269,0.5,,0.5,9797.572492,0.514,1189586.329,0,611447.3731,18598.19093,93.805,18691.99593,4709281.158,0.2,2.6,2.613113802,,
